method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
blend_a075,val_august,validation,14,917918.1295655296,2325.559441951408,638372.0447857417,15732.28762444827,654104.3324101899,29869.522615434464,86674.95889477248,253178.48562932273,204878.74089871524,2178.160729337569,2395.7523527111116,0.7965640873015873,653948.3393046006,31,4,3.3026026358129457e-11
blend_a075,eval_september,evaluation,14,827587.5459246499,982.5075499999984,527398.5987518694,5249.697479841659,532648.296231711,50484.60604876894,93014.03596554967,241844.1364085361,197482.77094820474,4786.2408636984155,3020.6625778201055,0.7184592261904762,533789.9426398568,9,4,1.6370904631912708e-11
blend_a075,eval_december,evaluation,14,1189394.14258012,28.02018466666675,840622.4021040334,207.1730520160006,840829.5751560493,68971.09051779071,6093.170895774245,309786.5492992216,250553.14391466667,1451.3861965089911,1866.898438401062,0.857148759920635,840509.0349334667,2,0,1.0231815394945443e-12
blend_a100,dev_march,development,14,863029.4599682292,66.69982323523755,514436.70402911067,428.4773619293776,514865.18139104004,52064.05294466544,53414.52728598823,270656.906259766,219283.53988228858,1607.6682326867735,1550.5062194888894,0.7306390376984127,514902.7697095243,3,4,2.021099337273174e-12
blend_a100,dev_april,development,14,689882.8045394627,4890.2401617761825,388288.0777329834,31087.304559794262,419375.38229277765,20036.947280510303,108776.62285572253,241371.61118246792,195492.94133412855,1618.0719069862432,1638.142711064552,0.6869833333333333,419362.9728156781,14,4,7.747126397185235e-11
blend_a100,val_june,validation,14,1019124.9882847612,95.86818352380942,680949.1538557679,663.9693182080946,681613.1231739761,118018.61994739453,45320.34279470666,236771.5287687877,190582.46419260377,1781.3549957153423,3117.437340286773,0.7637298611111111,680694.7577888687,8,1,1.1368683772161603e-12
blend_a100,val_august,validation,14,917723.5287360888,2252.598847625693,638459.477032652,15309.00673646763,653768.4837691196,29758.400498767798,86671.0659340976,252375.61012182245,204228.41173764,2178.160729337569,2395.7523527111116,0.7965640873015873,653612.4906635303,31,4,4.092726157978177e-12
blend_a100,eval_september,evaluation,14,825032.6500245559,976.1325499999984,526339.4720613227,5205.617542341658,531545.0896036644,47767.88352571309,93220.95301878777,241673.5070044503,197363.60697439522,4786.2408636984155,2999.5005294867733,0.7184592261904762,532700.4196737933,8,4,4.042198674546348e-12
blend_a100,eval_december,evaluation,14,1189235.8092467864,28.02018466666675,840716.4356093083,207.1730520160006,840923.6086613243,68971.63065548736,6093.170895774245,308950.3731359059,249875.84122238093,1451.3861965089911,1866.898438401062,0.857148759920635,840603.0684387416,2,0,1.0231815394945443e-12
mean7,dev_march,development,14,862811.2110648099,66.6998232352372,514815.44997478736,428.4773619293751,515243.92733671673,51806.21490090413,53682.474872339786,269455.01970182126,218310.01177035333,1607.6682326867735,1550.5062194888894,0.7306390376984127,515281.515655201,3,4,3.467448550509289e-12
mean7,dev_april,development,14,690113.9532847137,4942.7903224971315,388298.5842367013,31371.701879981065,419670.2861166824,20478.79219270196,108617.31446097002,241376.72911218455,195496.89687531238,1618.0719069862432,1638.3538020497374,0.6869833333333333,419657.7461251931,14,4,7.044320682325633e-11
mean7,val_june,validation,14,1018111.4117926501,95.86818352380942,680838.9625129967,663.9693182080946,681502.9318312048,117368.36553587542,45744.992350467975,232624.30963008577,187223.2166902552,1781.3549957153423,3117.437340286773,0.7637298611111111,680584.5664460975,8,1,8.736833478906192e-11
mean7,val_august,validation,14,917832.7470788147,2331.5872597371217,639046.61960777,15806.890522607038,654853.510130377,29465.797581829516,87055.0075335297,252885.44208152496,204641.37562499905,2178.160729337569,2395.7523527111116,0.7965640873015873,654697.5170247877,32,4,8.021237994802909e-12
mean7,eval_september,evaluation,14,823497.6456085059,976.1325499999984,525970.5702887916,5205.617542341658,531176.1878311333,46115.820232388,93166.86535851369,242499.97736470896,198018.93079710475,4786.2408636984155,3015.186272931218,0.7184592261904762,532321.3752908746,8,4,4.663595626671179e-12
mean7,eval_december,evaluation,14,1189390.749067532,28.02018466666675,841204.7219613327,207.1730520160006,841411.8950133488,69008.00405485832,6093.170895774245,309574.4069326137,250381.30859771426,1451.3861965089911,1866.898438401062,0.857148759920635,841091.3547907661,2,0,1.0231815394945443e-12
rolling_cost_selector,dev_march,development,14,863029.4599682292,66.69982323523755,514436.70402911067,428.4773619293776,514865.18139104004,52064.05294466544,53414.52728598823,270656.906259766,219283.53988228858,1607.6682326867735,1550.5062194888894,0.7306390376984127,514902.7697095243,3,4,2.021099337273174e-12
rolling_cost_selector,dev_april,development,14,689694.2258021048,4940.08034913904,388097.7281675712,31419.312300365997,419517.0404679371,20745.840095414493,108549.64649511936,238407.7782295214,193149.7633854781,1618.0719069862432,1574.2241074687856,0.6869833333333333,419544.1509046618,11,4,1.1118572729174048e-10
rolling_cost_selector,val_june,validation,14,1019696.9154746971,95.86818352380942,681649.1591674753,663.9693182080946,682313.1284856834,118112.48013446332,45152.50943584951,240171.00435681007,193336.0394189019,1781.3549957153423,3117.437340286773,0.7637298611111111,681394.763100576,8,1,1.1368683772161603e-12
rolling_cost_selector,val_august,validation,14,917723.5287360888,2252.598847625693,638459.477032652,15309.00673646763,653768.4837691196,29758.400498767798,86671.0659340976,252375.61012182245,204228.41173764,2178.160729337569,2395.7523527111116,0.7965640873015873,653612.4906635303,31,4,4.092726157978177e-12
rolling_cost_selector,eval_september,evaluation,14,826447.929299192,982.5075499999984,526492.7429303507,5249.697479841659,531742.4404101924,49369.8624496402,93051.82194116872,241735.02348773074,197436.3170293476,4786.2408636984155,2974.0764144920645,0.7184592261904762,532914.2100513084,9,4,3.637978807091713e-12
