method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
blend_a075,validation,2,28,1937546.476700115,2421.4276254752176,1319787.6039951495,16396.256942656364,1336183.8609378058,148184.96990899244,131827.468330622,491920.35577978357,397057.18161047425,1335109.5024471092,3959.5157250529114,5513.189692997885,39,5,3.3026026358129457e-11
blend_a075,evaluation,2,28,2016981.68850477,1010.5277346666652,1368021.0008559027,5456.870531857659,1373477.8713877604,119455.69656655965,99107.20686132391,551630.6857077577,448035.9148628714,1374298.9775733235,6237.627060207406,4887.561016221168,11,4,1.6370904631912708e-11
blend_a100,development,2,28,1552912.2645076918,4956.9399850114205,902724.781762094,31515.78192172364,934240.5636838176,72101.00022517574,162191.15014171076,512028.517442234,414776.48121641716,934265.7425252025,3225.7401396730165,3188.6489305534415,17,8,7.747126397185235e-11
blend_a100,validation,2,28,1936848.51702085,2348.4670311495024,1319408.63088842,15972.976054675724,1335381.6069430956,147777.02044616232,131991.40872880426,489147.1388906102,394810.87593024375,1334307.248452399,3959.5157250529114,5513.189692997885,39,5,4.092726157978177e-12
blend_a100,evaluation,2,28,2014268.4592713423,1004.1527346666652,1367055.907670631,5412.790594357659,1372468.6982649886,116739.51418120044,99314.12391456202,550623.8801403563,447239.44819677615,1373303.4881125349,6237.627060207406,4866.398967887835,10,4,4.042198674546348e-12
mean7,development,2,28,1552925.1643495236,5009.490145732369,903114.0342114887,31800.17924191044,934914.2134533991,72285.0070936061,162299.7893333098,510831.7488140058,413806.90864566574,934939.261780394,3225.7401396730165,3188.860021538627,17,8,7.044320682325633e-11
mean7,validation,2,28,1935944.158871465,2427.455443260931,1319885.5821207669,16470.859840815134,1336356.4419615818,146834.16311770494,132799.99988399766,485509.7517116107,391864.59231525427,1335282.0834708852,3959.5157250529114,5513.189692997885,40,5,8.736833478906192e-11
mean7,evaluation,2,28,2012888.3946760378,1004.1527346666652,1367175.2922501243,5412.790594357659,1372588.082844482,115123.82428724633,99260.03625428793,552074.3842973227,448400.239394819,1373412.7300816406,6237.627060207406,4882.08471133228,10,4,4.663595626671179e-12
rolling_cost_selector,development,2,28,1552723.685770334,5006.780172374278,902534.4321966819,31847.789662295374,934382.2218589771,72809.89304007993,161964.1737811076,509064.68448928744,412433.30326776666,934446.9206141861,3225.7401396730165,3124.730326957675,14,8,1.1118572729174048e-10
rolling_cost_selector,validation,2,28,1937420.444210786,2348.4670311495024,1320108.6362001272,15972.976054675724,1336081.612254803,147870.8806332311,131823.57536994712,492546.6144786325,397564.45115654194,1335007.2537641064,3959.5157250529114,5513.189692997885,39,5,4.092726157978177e-12
rolling_cost_selector,evaluation,2,28,2015683.7385459784,1010.5277346666652,1367209.178539659,5456.870531857659,1372666.0490715166,118341.49310512756,99144.99283694295,550685.3966236366,447312.1582517285,1373517.27849005,6237.627060207406,4840.974852893127,11,4,3.637978807091713e-12
rolling_mae_selector,development,2,28,1553135.9560840824,5017.909806096179,902747.2009334066,31897.090510705497,934644.2914441121,73251.4317204209,161694.69583325338,510387.52246288414,413504.80202637997,934708.990199321,3225.7401396730165,3124.730326957675,16,8,5.6009715384182826e-11
rolling_mae_selector,validation,2,28,1937661.2628540099,2351.5480720066453,1320101.9831185704,15994.022644770868,1336096.0057633412,147943.52938835163,131803.56882198591,493553.232778221,398379.81197920855,1335021.6472726446,3959.5157250529114,5513.189692997885,40,5,1.6086687537608668e-11
rolling_mae_selector,evaluation,2,28,2017499.629234191,1010.5277346666652,1368311.1084898335,5456.870531857659,1373767.9790216913,120207.52854291591,99107.20686132391,550620.3504449183,447259.4708469666,1374619.2084402246,6237.627060207406,4840.974852893127,11,4,1.6370904631912708e-11
oracle_alpha_daily,development,2,28,1552590.8941180445,5005.08290685618,901913.3639371071,31551.748557031846,933465.112494139,73603.6594789018,161108.10099812815,508684.77620691946,412125.57755904854,933529.8112493479,3225.7401396730165,3124.730326957675,16,8,5.6009715384182826e-11
oracle_alpha_daily,validation,2,28,1936673.2981500765,2348.4670311495024,1318841.0956937983,15972.976054675724,1334814.0717484741,148710.38155847744,130274.6701561952,491608.65528500406,396664.23373511713,1333632.4317617319,3959.5157250529114,5669.267998093123,39,5,3.98535525568554e-12
oracle_alpha_daily,evaluation,2,28,2014484.1122433941,338.4003679999983,1366534.0035390193,1839.9267120493244,1368373.9302510687,115930.82773509582,99314.12391456202,552631.6104297506,448888.5914346809,1369225.159669602,6237.627060207406,4840.974852893127,8,4,1.6370904631912708e-11
