method,window,period,date,selected_alpha,selector_score_type,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
blend_a100,eval_september,evaluation,2025-09-15,1.0,none,4949.312271687833,4326.602948687832,66921.22535782833,0.0,44414.88048162858,0.0,44414.88048162858,5398.135520412695,3405.924111568486,19003.01833270429,15952.883240190476,44841.78119317119,0,LP,0.006215399975189939,7.105427357601002e-13,0
blend_a100,eval_september,evaluation,2025-09-16,1.0,none,4326.602948687832,3937.5010263756626,67094.93344657966,0.0,45117.93703178076,0.0,45117.93703178076,3022.2157150970006,1430.3384217530897,18425.268718300995,15274.659391904761,45390.36747225373,0,LP,0.007175699982326478,7.673861546209082e-13,0
blend_a100,eval_september,evaluation,2025-09-17,1.0,none,3937.5010263756626,4145.127008402115,68330.65777813167,7.62916666666672,45673.09068224569,38.19542291666694,45711.286105162355,4378.899014865371,0.0,20065.295505837737,16066.02597590476,45565.89614101457,1,LP,0.006985400017583743,9.094947017729282e-13,0
blend_a100,eval_september,evaluation,2025-09-18,1.0,none,4145.127008402115,4008.224868169312,68223.99294834097,0.0,45016.748448667844,0.0,45016.748448667844,4211.157454192826,1526.2655031651957,19230.16210803057,15699.643233714285,45111.60015532593,0,LP,0.0064159000176005065,9.094947017729282e-13,0
blend_a100,eval_september,evaluation,2025-09-19,1.0,none,4008.224868169312,4564.305045068782,34937.924518430336,0.0,17167.130853751136,0.0,17167.130853751136,480.1960529276891,15281.194618636091,13551.101952580837,10475.92042238095,16870.224702649753,0,MILP,0.10608120000688359,4.042198674546348e-12,0
blend_a100,eval_september,evaluation,2025-09-20,1.0,none,4564.305045068782,4661.9370001481475,34487.887795937684,0.0,16765.05231045667,0.0,16765.05231045667,605.289947142857,15593.405164015287,13452.053641446206,10808.294689999999,16713.432831326885,0,MILP,0.10139530000742525,1.6200374375330284e-12,0
blend_a100,eval_september,evaluation,2025-09-21,1.0,none,4661.9370001481475,4208.748330640212,70788.86990714168,0.0,47537.38767051829,0.0,47537.38767051829,6213.7610405784835,3430.7977519188707,17182.59702035861,14325.773389047617,47853.01743398422,0,LP,0.007060200005071238,7.815970093361102e-13,0
blend_a100,eval_september,evaluation,2025-09-22,1.0,none,4208.748330640212,3246.7626313650803,68412.61941312875,0.0,45921.09019542622,0.0,45921.09019542622,2734.205888627871,2524.7006999999994,17923.579318500877,15383.886377333334,46598.27942718989,0,LP,0.006366599991451949,8.881784197001252e-13,0
blend_a100,eval_september,evaluation,2025-09-23,1.0,none,3246.7626313650803,2999.5005294867733,70378.57645930159,0.0,46536.67237080389,0.0,46536.67237080389,2919.963198380948,1785.7420661846013,19888.37633206937,16332.120720666664,46710.64026774936,0,LP,0.007628500025020912,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-08,1.0,none,1451.3861965089911,1823.0339727153448,96889.40221220929,0.0,73396.71127566401,0.0,73396.71127566401,4305.996233497942,0.0,23166.90454452087,18430.70968247619,73092.82836129196,0,LP,0.005512200004886836,9.663381206337363e-13,0
blend_a100,eval_december,evaluation,2025-12-09,1.0,none,1823.0339727153448,1681.167125725927,96867.09747589417,28.02018466666675,72639.9440290359,207.1730520160006,72847.1170810519,5211.0980025185145,0.0,23280.239756137566,18984.674364761908,72962.76684605089,2,LP,0.006866799987619743,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-10,1.0,none,1681.167125725927,1640.7699979100528,96997.72461758376,0.0,73799.82804260356,0.0,73799.82804260356,4357.173235080536,0.0,22575.21226774133,18322.279351904766,73833.13721661389,0,LP,0.0059661999985110015,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-11,1.0,none,1640.7699979100528,1849.5066304476222,97452.91486830216,0.0,72544.99077349133,0.0,72544.99077349133,7013.5284114791275,0.0,22580.362039680185,18102.23028285714,72376.3585797028,0,LP,0.00556200000573881,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-12,1.0,none,1849.5066304476222,1922.1565517195847,50946.63655140623,0.0,23513.807161643017,0.0,23513.807161643017,2015.8044465467424,1328.8133463915274,20116.949189420335,16229.343914285711,23466.48286670786,0,LP,0.006210599996848032,1.0231815394945443e-12,0
blend_a100,eval_december,evaluation,2025-12-13,1.0,none,1922.1565517195847,2001.8885422253966,51821.586006790116,0.0,24265.65428328015,0.0,24265.65428328015,2986.9171102692576,1132.38245,20168.390903854193,16264.637840666666,24213.29214231774,0,LP,0.00512640000670217,7.958078640513122e-13,0
blend_a100,eval_december,evaluation,2025-12-14,1.0,none,2001.8885422253966,1739.627803660316,97981.36402969193,0.0,75080.75409603288,0.0,75080.75409603288,5070.020763092304,0.0,22992.927006885355,18860.305540285714,75298.08006313,0,LP,0.005210500006796792,6.821210263296962e-13,0
blend_a100,eval_december,evaluation,2025-12-15,1.0,none,1739.627803660316,1911.330116133336,99872.19156622222,0.0,76565.54452005666,0.0,76565.54452005666,5856.481038444449,0.0,23113.791999396824,18567.639438285714,76424.23416077504,0,LP,0.00623449997510761,9.094947017729282e-13,0
blend_a100,eval_december,evaluation,2025-12-16,1.0,none,1911.330116133336,1830.002305755558,99682.91976615167,0.0,75884.50974272215,0.0,75884.50974272215,6019.67397259612,0.0,22728.15520822222,18483.000748,75951.18411154559,0,LP,0.006261100003030151,9.094947017729282e-13,0
