method,window,period,date,selected_plan,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_day_cost,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean7,val_june,validation,2025-06-20,mean7,2739.674852192594,2884.6010395206395,36603.82914585303,0.0,18783.545444915133,0.0,18783.545444915133,1407.5243536190487,10477.99097560494,11512.102094914755,9194.36912828571,18702.506162958238,0,LP,0.0056714999955147505,9.094947017729282e-13,0
mean7,val_june,validation,2025-06-21,mean7,2884.6010395206395,3117.437340286773,35252.93467776476,0.0,18137.9645084634,0.0,18137.9645084634,1836.381907809525,11560.886014392712,12165.124657226337,9644.198301663811,18010.23677133868,0,MILP,0.19702290001441725,8.736833478906192e-11,0
mean7,val_august,validation,2025-08-18,mean7,2178.160729337569,2168.930028625399,72442.89799171193,132.611270952381,53087.77352284189,1115.5127389771433,54203.286261819034,2418.8424443174636,2044.6419833333339,19611.667626251612,15893.758407904761,54210.327486475784,5,LP,0.005690200021490455,8.668621376273222e-13,0
mean7,val_august,validation,2025-08-19,mean7,2168.930028625399,1852.4128791502637,72283.00706105233,115.82866466666655,52987.918941473385,987.5119954816656,53975.430936955054,1825.8608945855372,3133.5257974661963,17929.760095762493,14807.971112095238,54215.54836382919,4,LP,0.005344400007743388,8.526512829121202e-13,0
mean7,val_august,validation,2025-08-20,mean7,1852.4128791502637,1630.2109173555552,72871.02814889594,1780.3983999723646,53870.87987228345,11365.584121833052,65236.4639941165,414.5755492380955,0.0,19927.06157146738,16340.901638503823,65409.71791900481,12,LP,0.005439400003524497,8.810729923425242e-13,0
mean7,val_august,validation,2025-08-21,mean7,1630.2109173555552,1854.96182146032,74223.70503470546,0.0,53777.100736818415,0.0,53777.100736818415,2614.69657430923,2001.7503555696594,18739.809514731336,14976.969893238094,53605.73126276346,0,LP,0.005769199982751161,9.094947017729282e-13,0
mean7,val_august,validation,2025-08-22,mean7,1854.96182146032,1486.6533281999998,40303.6915216214,33.57257334380747,22760.768117023872,68.55519476805485,22829.323311791926,113.67007933333377,16748.59792628101,13557.391227816577,11312.964538465714,23048.254627512575,1,MILP,0.1090682000212837,1.9326762412674725e-12,0
mean7,val_august,validation,2025-08-23,mean7,1486.6533281999998,1916.1332087280416,40956.32355367901,0.0,22789.315320319434,0.0,22789.315320319434,396.99316747913,15072.660064663138,13527.011995060553,10570.347823523809,22534.514838924384,0,MILP,0.12688920000800863,1.8189894035458565e-12,0
mean7,val_august,validation,2025-08-24,mean7,1916.1332087280416,2100.0782866380923,76191.91484413992,0.0,54807.279259693736,0.0,54807.279259693736,4229.894518825398,4279.161608546739,19914.30875429159,15965.039520857143,54668.04766628773,0,LP,0.007272699993336573,1.0231815394945443e-12,0
mean7,val_august,validation,2025-08-25,mean7,2100.0782866380923,1707.2043083703695,76191.10289141079,194.44487727809246,55318.17323869997,1651.7392593657878,56969.91249806576,1195.8901647724842,920.9743325373406,20258.85702712286,16763.26077241047,57274.052450694406,3,LP,0.005377900000894442,9.094947017729282e-13,0
mean7,val_august,validation,2025-08-26,mean7,1707.2043083703695,2289.7248573343904,77758.3581165138,0.0,55592.012127663096,0.0,55592.012127663096,5241.180835753079,2647.3793983303935,20087.952658049377,15746.97315895238,55149.310345313475,0,LP,0.006700700003420934,9.094947017729282e-13,0
mean7,val_august,validation,2025-08-27,mean7,2289.7248573343904,1868.6339772031754,76984.80180751323,1.3456278095239895,55530.97953964914,11.34969775943009,55542.329237408565,3149.673414190475,2413.5014,20462.134455703705,16953.310701238093,55865.747561529744,1,LP,0.00816810000105761,7.673861546209082e-13,0
mean7,val_august,validation,2025-08-28,mean7,1868.6339772031754,1928.8909241407414,76481.55441285713,46.880709523809514,55595.5082108034,388.3171611380952,55983.82537194149,1685.4176598259883,0.0,21163.111720935914,17087.889241714285,55936.99642200482,3,LP,0.007456999999703839,8.242295734817162e-13,0
mean7,val_august,validation,2025-08-29,mean7,1928.8909241407414,1784.4022373777775,41237.63937088066,0.0,23201.078987772173,0.0,23201.078987772173,880.3741773333343,15249.610070510289,14118.287321703701,11565.852548666666,23287.491440250484,0,MILP,0.11438460001954809,7.958078640513122e-13,0
mean7,val_august,validation,2025-08-30,mean7,1784.4022373777775,1574.0628858211626,41491.9794364268,0.0,23554.56616480929,0.0,23554.56616480929,762.0543517860101,19914.160596291593,13117.631954825394,10814.587299809524,23678.49732197388,0,MILP,0.11806380000780337,8.021237994802909e-12,0
mean7,val_august,validation,2025-08-31,mean7,1574.0628858211626,2395.7523527111116,78414.74288740623,26.50513619047615,56173.26556791876,218.3203532838092,56391.58592120257,4536.673750079958,2629.044000000001,20470.45615780247,15841.548967619048,55765.55304172112,3,LP,0.005692699982319027,9.348077867343818e-13,0
mean7,eval_september,evaluation,2025-09-10,mean7,4786.2408636984155,5238.316696867728,67860.3791468054,968.5033833333317,45742.04806146357,5167.422119424991,50909.47018088856,3143.402825229861,0.0,20855.856868718398,16486.375813809525,50591.370976542516,7,LP,0.006783400021959096,9.094947017729282e-13,0
