method,period,windows,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,inventory_adjusted_cost,total_window_start_energy,total_window_end_energy,emergency_slots,milp_days,max_plan_audit
mean14,evaluation,2,28,2014268.459271343,1004.1527346666652,1367055.9076706308,5412.790594357659,1372468.6982649886,116739.51418120044,99314.12391456202,550623.8801403563,447239.4481967762,1373303.4881125349,6237.627060207406,4866.398967887835,10,4,4.042198674546348e-12
mean28,development,2,28,1552183.1277175425,5009.569704287612,902917.8275248534,31785.7042533769,934703.5317782301,72001.76994210106,162282.02059633276,508543.4883295849,411959.5993461885,934732.8268252218,3225.7401396730165,3181.991473867724,16,8,7.747126397185235e-11
mean28,validation,2,28,1938649.5737511215,2424.769616215217,1319736.2898521116,16408.769180603464,1336145.059032715,150323.7924702564,130221.3017165138,494940.26680394466,399503.3095400448,1335070.7005420183,3959.5157250529114,5513.189692997885,39,5,8.833467290969566e-11
mean28,evaluation,2,28,2017035.6414425853,1004.1527346666652,1369060.8239600793,5412.790594357659,1374473.6145544369,119785.4112585714,99374.22533852726,548994.6189477344,445949.0033342476,1375329.4241505372,6237.627060207406,4833.891519559793,10,4,2.8421709430404007e-12
weekday35,development,2,28,1553021.1215383871,5126.282474017133,903718.642822668,32748.02441573753,936466.6672384052,72262.14516748083,162407.5575530606,511541.3926258447,414388.70923398185,936496.5169611145,3225.7401396730165,3181.0943540645503,14,8,4.6838977141305804e-11
weekday35,validation,2,28,1938077.1100590047,2727.0988525380844,1320976.1251351894,21100.434737490363,1342076.5598726799,153030.6205593075,126910.91171708051,496723.0165592357,400952.63184074755,1341006.5174526135,3959.5157250529114,5507.306360867727,36,5,8.242295734817162e-12
weekday35,evaluation,2,28,2018448.854406523,543.4306311638105,1372216.864045229,2922.933862167555,1375139.7979073967,119440.69440719692,99243.17364061494,556478.2211041658,452004.3460809571,1375991.02732593,6237.627060207406,4840.974852893124,9,4,9.322320693172514e-12
ewma14,development,2,28,1553079.0297661177,5022.631148178085,904258.5447852636,31863.979823408565,936122.5246086721,71550.66637326598,162876.37404213523,512674.558875873,415324.956276978,936165.0027203935,3225.7401396730165,3160.6694868719587,16,8,3.1391778065881226e-11
ewma14,validation,2,28,1936206.322635932,2436.334653310459,1319670.5213098507,16522.372577917467,1336192.8938877683,147516.69320342393,132190.89152275835,486549.8635539105,392707.08290751715,1335118.5353970716,3959.5157250529114,5513.189692997885,40,5,8.084397349092696e-12
ewma14,evaluation,2,28,2012928.3720777198,1004.1527346666652,1367373.8143740979,5412.790594357659,1372786.6049684556,114866.14982584714,99415.3689617037,552823.4324850359,449006.9684268666,1373611.2522056142,6237.627060207406,4882.084711332281,10,4,8.287770469905809e-11
lag1_shift6h,development,2,28,1553874.3245778377,4322.661951099046,1196730.1289694512,9797.398747230109,1206527.5277166814,51426.23366865843,183287.95829411538,512281.7592624738,415123.9825963115,1206650.6625556634,3225.7401396730165,3030.453924442326,17,8,5.4001247917767614e-12
lag1_shift6h,validation,2,28,1955702.058645797,1582.6667354199885,1672545.1889532623,7954.817434052604,1680500.0063873152,144968.1525893648,137979.7041309956,571130.1584019775,461885.5816577876,1679945.6091921506,3959.5157250529114,4770.456444846563,30,5,1.0913936421275139e-11
lag1_shift6h,evaluation,2,28,2028856.6920677724,26.083891619047904,1734952.0490947822,152.67365058347775,1735104.7227453655,102841.63420547043,123107.13793854676,568462.7283211227,461363.2664724152,1735638.167004026,6237.627060207406,5228.230913201067,4,4,6.014033715473488e-11
oracle,development,2,28,1558446.9845693759,5330.428530296176,893436.273496269,34295.87823181177,927732.1517280808,75064.55922392431,159696.18520717695,540875.0800417471,438183.4292731761,927785.7095043133,3225.7401396730165,3142.8352070497376,14,8,1.2656897752094665e-10
oracle,validation,2,28,1941121.7000318798,2764.4547286476036,1311349.335345617,20821.830085299305,1332171.1654309165,150975.66567143568,128454.85040947559,515309.46323345316,415946.11647050385,1331053.8531098529,3959.5157250529114,5575.681001267728,40,5,2.546585164964199e-11
oracle,evaluation,2,28,2021840.152101594,1010.5277346666652,1358135.4679278808,5456.8705318576585,1363592.3384597385,118237.85848548496,98093.36757124985,589040.7955859506,478355.88377309137,1364425.392659082,6237.627060207406,4867.805561905823,11,4,7.617018127348274e-12
