method,window,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
mean7,eval_september,evaluation,14,823497.6456085057,976.1325499999984,525970.5702887916,5205.617542341658,531176.1878311334,46115.820232388,93166.86535851369,242499.97736470896,198018.93079710472,4786.2408636984155,3015.186272931218,0.7184592261904762,532321.3752908747,8,4,4.663595626671179e-12
mean7,eval_december,evaluation,14,1189390.7490675321,28.02018466666675,841204.7219613326,207.1730520160006,841411.8950133487,69008.0040548583,6093.170895774245,309574.4069326137,250381.30859771426,1451.3861965089911,1866.898438401062,0.857148759920635,841091.354790766,2,0,1.0231815394945443e-12
mean14,dev_march,development,14,863029.4599682292,66.69982323523755,514436.7040291107,428.4773619293776,514865.1813910402,52064.05294466545,53414.527285988224,270656.906259766,219283.5398822886,1607.6682326867735,1550.5062194888894,0.7306390376984127,514902.76970952447,3,4,2.021099337273174e-12
mean14,dev_april,development,14,689882.8045394627,4890.240161776181,388288.0777329834,31087.304559794262,419375.38229277765,20036.947280510307,108776.6228557225,241371.61118246792,195492.94133412858,1618.0719069862432,1638.142711064552,0.6869833333333333,419362.9728156781,14,4,7.747126397185235e-11
mean14,val_june,validation,14,1019124.9882847612,95.86818352380942,680949.1538557678,663.9693182080946,681613.1231739759,118018.61994739453,45320.34279470665,236771.5287687877,190582.46419260377,1781.3549957153423,3117.437340286773,0.7637298611111111,680694.7577888685,8,1,1.1368683772161603e-12
mean14,val_august,validation,14,917723.5287360887,2252.598847625693,638459.477032652,15309.006736467627,653768.4837691196,29758.400498767798,86671.06593409757,252375.61012182245,204228.41173764007,2178.160729337569,2395.7523527111116,0.7965640873015873,653612.4906635303,31,4,4.092726157978177e-12
mean14,eval_september,evaluation,14,825032.650024556,976.1325499999984,526339.4720613228,5205.617542341658,531545.0896036644,47767.883525713085,93220.95301878777,241673.5070044503,197363.60697439525,4786.2408636984155,2999.5005294867733,0.7184592261904762,532700.4196737933,8,4,4.042198674546348e-12
mean14,eval_december,evaluation,14,1189235.8092467869,28.02018466666675,840716.4356093081,207.1730520160006,840923.6086613241,68971.63065548736,6093.170895774245,308950.3731359059,249875.84122238093,1451.3861965089911,1866.898438401062,0.857148759920635,840603.0684387415,2,0,1.0231815394945443e-12
mean28,dev_march,development,14,862313.6096252273,72.98611897428475,514757.4588882477,469.9700996747756,515227.42898792244,51869.9085775649,53563.192990086995,267161.7200268136,216452.43903359713,1607.6682326867735,1550.5062194888894,0.7306390376984127,515265.0173064067,3,4,1.6484591469634324e-12
mean28,dev_april,development,14,689869.5180923151,4936.583585313327,388160.3686366056,31315.734153702128,419476.1027903077,20131.861364536166,108718.82760624576,241381.76830277126,195507.16031259138,1618.0719069862432,1631.4852543788345,0.6869833333333333,419467.8095188151,13,4,7.747126397185235e-11
mean28,val_june,validation,14,1021152.530746762,90.26072209523807,681468.697921833,624.5613093992379,682093.2592312321,120488.70837459735,43534.74639452205,243810.70231380718,196284.1947640695,1781.3549957153423,3117.437340286773,0.7637298611111111,681174.8938461248,8,1,1.0800249583553523e-12
mean28,val_august,validation,14,917497.0430043596,2334.508894119979,638267.5919302785,15784.207871204226,654051.7998014828,29835.08409565904,86686.55532199175,251129.56449013748,203219.1147759753,2178.160729337569,2395.7523527111116,0.7965640873015873,653895.8066958935,31,4,8.833467290969566e-11
mean28,eval_september,evaluation,14,828451.7998086556,976.1325499999984,527897.9757974558,5205.617542341658,533103.5933397973,51214.51931939093,93281.05444275303,241366.50316209288,197144.19056558097,4786.2408636984155,2966.993081158731,0.7184592261904762,534279.9431584803,8,4,2.8421709430404007e-12
mean28,eval_december,evaluation,14,1188583.8416339296,28.02018466666675,841162.8481626235,207.1730520160006,841370.0212146395,68570.89193918048,6093.170895774245,307628.1157856414,248804.81276866666,1451.3861965089911,1866.898438401062,0.857148759920635,841049.4809920569,2,0,1.0231815394945443e-12
weekday35,dev_march,development,14,862718.7502696263,74.7333345638076,515453.41471557424,481.33449978927706,515934.74921536347,51064.17013683883,54412.73507651263,269072.6895757025,218000.32436819712,1607.6682326867735,1550.5062194888894,0.7306390376984127,515972.3375338477,3,4,3.979039320256561e-12
weekday35,dev_april,development,14,690302.3712687608,5051.549139453326,388265.22810709366,32266.689915948253,420531.9180230418,21197.975030642,107994.82247654794,242468.7030501422,196388.38486578473,1618.0719069862432,1630.588134575661,0.6869833333333333,420524.1794272667,11,4,4.6838977141305804e-11
weekday35,val_june,validation,14,1020279.5180994427,82.53043895238102,681820.1470784302,570.8537922469529,682391.0008706772,121863.05909815525,41115.339802072915,244659.75593392595,196968.935445759,1781.3549957153423,3120.762618738625,0.7637298611111111,681470.3498325647,6,1,1.1368683772161603e-12
weekday35,val_august,validation,14,917797.5919595622,2644.568413585703,639155.9780567593,20529.58094524341,659685.5590020027,31167.561461152276,85795.5719150076,252063.26062530975,203983.69639498857,2178.160729337569,2386.5437421291017,0.7965640873015873,659536.1676200486,30,4,8.242295734817162e-12
weekday35,eval_september,evaluation,14,829571.2699293063,515.4104464971438,528063.525009388,2715.760810151555,530779.2858195396,51287.70329793061,93180.46758322165,244944.27104703704,200035.80755238567,4786.2408636984155,2974.0764144920618,0.7184592261904762,531951.0554606556,7,4,9.322320693172514e-12
weekday35,eval_december,evaluation,14,1188877.5844772167,28.02018466666675,844153.339035841,207.1730520160006,844360.512087857,68152.99110926631,6062.706057393292,311533.9500571287,251968.5385285714,1451.3861965089911,1866.898438401062,0.857148759920635,844039.9718652744,2,0,1.0231815394945443e-12
ewma14,dev_march,development,14,862829.5981389033,62.930507330476416,515626.35937818955,403.5471065352874,516029.9064847249,51262.87600370805,54111.24361269723,270134.9560967019,218860.76025020666,1607.6682326867735,1550.5062194888894,0.7306390376984127,516067.49480320915,3,4,2.0889956431346945e-12
ewma14,dev_april,development,14,690249.4316272145,4959.700640847608,388632.18540707405,31460.432716873278,420092.61812394724,20287.79036955793,108765.130429438,242539.60277917108,196464.19602677136,1618.0719069862432,1610.1632673830693,0.6869833333333333,420097.50791718427,13,4,3.1391778065881226e-11
ewma14,val_june,validation,14,1018431.9907771664,95.86818352380942,681101.7485530037,663.9693182080946,681765.7178712117,117806.81032000476,45375.61005514051,233948.080660161,188295.47122461617,1781.3549957153423,3117.437340286773,0.7637298611111111,680847.3524861044,8,1,1.8189894035458565e-12
ewma14,val_august,validation,14,917774.3318587656,2340.4664697866497,638568.7727568472,15858.403259709374,654427.1760165566,29709.88288341917,86815.28146761785,252601.78289374954,204411.61168290098,2178.160729337569,2395.7523527111116,0.7965640873015873,654271.1829109673,32,4,8.084397349092696e-12
ewma14,eval_september,evaluation,14,823387.1908922031,976.1325499999984,526105.2809588899,5205.617542341658,531310.8985012316,45814.16769990593,93322.19806592946,242688.7410950441,198171.82941867615,4786.2408636984155,3015.186272931219,0.7184592261904762,532456.0859609729,8,4,8.287770469905809e-11
ewma14,eval_december,evaluation,14,1189541.1811855168,28.02018466666675,841268.533415208,207.1730520160006,841475.7064672239,69051.98212594121,6093.170895774245,310134.6913899917,250835.13900819045,1451.3861965089911,1866.898438401062,0.857148759920635,841155.1662446413,2,0,1.0231815394945443e-12
