method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,predicted_plan_cost,actual_mean_price,forecast_mean_price,emergency_slots,solver,solve_seconds,max_plan_audit,plan_mutual_count
mean28,dev_april,development,2025-04-23,1776.271924446559,1927.1374025005305,59749.91146693943,0.0,36112.87428082741,0.0,36112.87428082741,2148.710332730158,2377.420133333333,19410.975547161663,15587.11126295238,33103.10481428938,0.7479125,0.7005982886904761,0,LP,0.0045891000190749764,9.094947017729282e-13,0
mean28,dev_april,development,2025-04-24,1927.1374025005305,1810.5011358306879,58633.1302089171,0.0,35092.72498165096,0.0,35092.72498165096,2764.3748006466767,5304.634016666667,18836.775429508514,15362.76073790476,32647.935706435004,0.7361847222222223,0.7002876240079365,0,LP,0.004485200013732538,9.094947017729282e-13,0
mean28,dev_april,development,2025-04-25,1810.5011358306879,1757.9912371132332,26135.81557480541,0.0,9939.693279016572,0.0,9939.693279016572,277.03426780952486,21541.07913039976,12445.281239167547,10127.936712571427,12191.30759666314,0.5406916666666667,0.6992079365079366,0,MILP,0.08510070000193082,4.604316927725449e-12,0
mean28,dev_april,development,2025-04-26,1757.9912371132332,1528.5528376656105,26058.808989927093,0.0,10089.557294136384,0.0,10089.557294136384,62.003718952381064,23788.06788411757,12342.306910666659,10203.763157142854,12120.313452797094,0.5378048611111111,0.6979909226190476,0,MILP,0.09040600000298582,2.191629593855598e-12,0
mean28,dev_april,development,2025-04-27,1528.5528376656105,1485.078089274073,55806.059168888874,409.53821862095543,32749.35705250878,2686.7754832627784,35436.13253577157,1486.7032059047608,2381.3108852827772,20069.68098179658,16295.568868807617,31102.192714672532,0.7337826388888888,0.697087996031746,1,LP,0.004428899992490187,8.810729923425242e-13,0
mean28,dev_april,development,2025-04-28,1485.078089274073,1504.9808207925923,55359.6419113933,4441.577708736184,33316.817216173964,28063.333710085302,61380.15092625925,183.25778914285684,0.0,15674.116083964733,12678.121569644763,30921.62240071741,0.7660520833333333,0.6964364087301588,11,LP,0.004614900011802092,9.094947017729282e-13,0
mean28,dev_april,development,2025-04-29,1504.9808207925923,1708.2381589777765,57695.52719732746,85.46765795618717,33828.66039698533,565.6249603540467,34394.28535733938,1979.9658298095221,4700.151988101123,18340.693243893005,14673.029923186667,32098.97488713426,0.7303826388888888,0.6966274057539683,1,LP,0.004414499999256805,8.952838470577262e-13,0
mean28,dev_april,development,2025-04-30,1708.2381589777765,1631.4852543788345,57021.52832893709,0.0,33599.269919619146,0.0,33599.269919619146,1976.7087660317454,3398.4919591440357,18202.89886614227,14813.425695714286,31787.285929717356,0.7294423611111112,0.6951014632936509,0,LP,0.004399600002216175,8.86402062860725e-13,0
mean28,val_june,validation,2025-06-08,1781.3549957153423,2091.7393678433887,87309.4328799036,19.011776857142877,59430.3128763184,131.58670150204773,59561.89957782045,17213.873948420936,1625.3386999999996,15920.856877673132,12616.548135999996,52180.07918980115,0.7970791666666668,0.713269890873016,3,LP,0.004471299995202571,9.094947017729282e-13,0
mean28,val_june,validation,2025-06-09,2091.7393678433887,2128.603648617991,85742.24662512644,17.493581238095203,59643.3721271132,123.65337898147595,59767.02550609467,10120.494750886543,922.133938828929,19743.268055887103,15958.86927257143,51352.779594367166,0.81925625,0.7145662202380952,1,LP,0.003858499985653907,6.821210263296962e-13,0
