strategy,month,plan_kwh,emergency_kwh,load_kwh,plan_cost,emergency_cost,total_cost,pv_spill_kwh,paid_grid_spill_kwh,charge_kwh,discharge_kwh,days,e_start,e_end,emergency_slots,milp_days,inventory_adjusted_min,inventory_adjusted_mean,inventory_adjusted_max
q0.8,7,2522080.648345125,14331.852037693285,3970920.440116667,1594576.3061551338,88645.69077419529,1683221.9969293294,161101.6382673588,326304.22188044357,548070.2300402584,443882.8493219094,31,6554.245813846562,6614.286936846563,118,0,1683201.9329872564,1683180.593921834,1683146.6044920008
q0.8,8,2256808.675508103,7892.204199142836,3753611.725449999,1440919.7041732084,52113.75231334261,1493033.4564865516,293214.71395933104,292512.1684438624,499280.06495967676,404418.93192229065,31,6614.286936846563,6611.976598010581,83,0,1493034.2285324803,1493035.0496442302,1493036.3575328211
q0.8,9,1955857.7315933863,6657.885587807924,3265855.5116333338,1229442.190745272,42614.558670374034,1272056.7494156458,231053.27775968847,243860.7658444208,523877.718860623,424660.0125335381,30,6611.976598010581,6257.465201973546,65,0,1272175.2164888596,1272301.2124978465,1272501.9022854217
q0.8,10,2084927.140818195,7643.737871472944,3234182.50155,1291612.0736939737,46450.51641185008,1338062.590105824,228430.13809239864,279112.5503658141,556875.357262622,446980.75806449994,31,6257.465201973546,10800.0,55,0,1336544.6112523675,1334930.1603161378,1332358.6200106381
q0.8,11,2371943.7505316935,992.8189678904805,3123123.369616667,1498551.0747275047,5547.678457111689,1504098.7531846168,126681.13269816579,358428.8374423561,547825.868117726,447971.6767419962,30,10800.0,6096.973814846561,20,0,1505670.3634449095,1507341.8542238094,1510004.2491047902
q0.8,12,2948310.6925170543,13816.39700421429,3490331.5867666667,1898052.7671756549,71641.65228033059,1969694.419455985,38838.81920068782,439986.6325665195,628417.3391788948,509152.6376581668,31,6096.973814846561,5947.426122333334,79,0,1969744.393808392,1969797.5441799192,1969882.20350252
q0.85,2,2289970.9684100524,579.2804648785741,3035354.4650166663,1435626.4244009922,2763.4383064460026,1438389.8627074384,109873.32182077305,369345.7054958727,512902.89206114947,415451.342569531,28,10800.0,10800.0,26,0,1438389.8627074384,1438389.8627074384,1438389.8627074384
q0.85,3,2146776.7570195696,6376.77081056038,3240640.0525833336,1313658.5686403045,40859.199001621106,1354517.7676419255,204986.6989524353,323028.8993549232,541235.6340706055,442415.37101450004,31,10800.0,6339.436202989421,31,0,1356008.3542459726,1357593.6720736586,1360118.8083905557
q0.85,4,1805288.185275943,6916.539482631953,3162943.2953166664,1079744.266096922,44321.10227891137,1124065.3683758334,260114.3273493798,239314.72720697796,500979.6949985392,405933.62379632134,30,6339.436202989421,6183.801927984131,27,0,1124117.376681512,1124172.6902701058,1124260.795222272
q0.85,5,1853145.2278653926,2740.956866560436,3274848.2480000006,1133843.9146151075,17842.2799595812,1151686.194574689,303339.9086781158,271635.57823959197,473934.65803334524,379834.42518576665,31,6183.801927984131,10686.743951587301,25,0,1150181.4464386615,1148581.0670714078,1146031.940334491
q0.85,6,2396120.1842818833,25154.76266365547,3456268.2931999993,1508602.5803694255,159335.87842610892,1667938.4587955344,136709.8845487736,443563.853076011,497268.6480473854,406260.60490996426,30,10686.743951587301,6827.855072051587,114,0,1669227.983692409,1670599.4617418626,1672783.9883837898
q0.85,7,2580006.032038785,9491.501206227389,3970920.440116667,1636635.5019873255,59209.43884020058,1695844.9408275266,165464.0149887994,377279.5410069731,536574.0782371575,434639.3605045833,31,6827.855072051587,6811.902702623015,88,0,1695850.2716308185,1695855.9412225562,1695864.9718987707
q0.85,8,2311588.5444939053,3646.133756998805,3753611.725449999,1475131.2799551052,24052.916994631512,1499184.196949737,304860.75968256075,332621.22127753624,492990.43606975477,399350.6030456143,31,6811.902702623015,6780.402892497357,56,0,1499194.7232412866,1499205.9185100538,1499223.7506313154
q0.85,9,2008997.796290699,2690.9412848637858,3265855.5116333338,1263841.5753860075,17636.496574107783,1281478.071960115,245992.16847237805,279734.6994937242,514733.6375658039,417155.6352063428,30,6780.402892497357,6534.415361339947,33,0,1281560.273613402,1281647.6994268817,1281786.9535832389
q0.85,10,2121050.867223761,3699.0760912238056,3234182.50155,1316797.9075766373,22002.448109442354,1338800.3556860795,236084.3604633715,304912.58367463545,551475.6945728967,442856.2864292523,31,6534.415361339947,10800.0,33,0,1337374.9252673783,1335858.9044949138,1333444.146367007
q0.85,11,2404166.433842827,270.3891927547553,3123123.369616667,1522447.398510119,1477.3761346625201,1523924.7746447816,128637.02982012482,389805.40665295254,537216.2206650821,439194.242085912,30,10800.0,6300.996280894182,10,0,1525428.2067175952,1527027.1863818932,1529574.0836347884
q0.85,12,2987496.325838896,10216.255727091684,3490331.5867666667,1928186.5045561446,52014.86974855806,1980201.3743047027,40050.35444730157,475815.4985482611,621023.3797945237,503213.5874574321,31,6300.996280894182,6095.829809929892,57,0,1980269.9347843048,1980342.8524868342,1980458.9977389632
q0.9,2,2322529.927054852,359.59097619047566,3035354.4650166663,1460477.1795436405,1732.944343483927,1462210.123887124,111149.39912814373,402451.7861147895,502150.84590233275,406742.18518088956,28,10800.0,10800.0,19,0,1462210.123887124,1462210.123887124,1462210.123887124
q0.9,3,2200710.5323390425,3497.2232190499917,3240640.0525833336,1349030.2284361569,22816.143910191324,1371846.3723463481,212285.3466461317,368327.7744211945,531181.6417564902,433904.67373239045,31,10800.0,6747.1734337407415,16,0,1373200.705399995,1374641.1103578429,1376935.4256090685
q0.9,4,1860322.188274969,3591.0094123793324,3162943.2953166664,1113630.9621196103,22098.969724891187,1135729.9318445015,272915.22556227806,279915.69039783673,493238.50979150546,399885.82706427184,30,6747.1734337407415,6344.246619126985,15,0,1135864.577898141,1136007.781110006,1136235.8789870758
q0.9,5,1913190.9312965118,2062.7770525404762,3274848.2480000006,1171167.2593616655,13373.296032486642,1184540.555394152,315652.6872082422,320916.53098991787,462932.1428045737,371058.1176203476,31,6344.246619126985,10696.377787301588,22,0,1183086.203721683,1181539.42366353,1179075.6713288985
q0.9,6,2493603.5489925304,16773.825297432653,3456268.2931999993,1582552.4281256783,107701.3861893127,1690253.8143149908,140090.55082330393,530688.5618490389,488377.7256729129,398772.6302386263,30,10696.377787301588,7155.630627783069,71,0,1691437.025793287,1692695.4338893837,1694699.859708255
q0.9,7,2661912.87444199,5084.811180814281,3970920.440116667,1695156.1874523824,32277.45037789538,1727433.6378302777,172306.25532424884,451209.4375202679,519758.1714866401,421095.438225019,31,7155.630627783069,7054.164715738095,59,0,1727467.5446941056,1727503.6064402408,1727561.0465467144
q0.9,8,2382254.395522443,1110.362081190472,3753611.725449999,1518176.17723433,6766.4279189489025,1524942.6051532791,315316.33899927983,391378.80977677536,487565.64890378603,395008.9043428738,31,7054.164715738095,6964.466125952383,40,0,1524972.5797310278,1525004.459282577,1525055.2378785012
q0.9,9,2073997.8736075778,706.9996442632539,3265855.5116333338,1305200.9006383817,4239.472003713796,1309440.3726420957,261900.34201133458,329067.7452251147,503084.4142738301,407731.4955084381,30,6964.466125952383,6705.443963023809,18,0,1309526.9300782816,1309618.9884976526,1309765.6215916418
q0.9,10,2173657.6707681227,1490.805140823805,3234182.50155,1353726.0613167721,8947.237100165175,1362673.2984169372,248246.65371412697,345801.5198339595,538324.2678644648,432357.55653693806,31,6705.443963023809,10800.0,12,0,1361305.020626061,1359849.7847013492,1357531.846292427
q0.9,11,2448423.268812362,74.82967452380967,3123123.369616667,1554704.6624299975,348.75279880285785,1555053.4152288006,130710.68061830987,433785.7531917992,525908.564718348,429879.3080249046,30,10800.0,6474.032663285714,5,0,1556499.0237337104,1558036.5049699338,1560485.445894166
q0.9,12,3040621.1459748284,6443.152105911893,3490331.5867666667,1967508.8745605159,31797.737247947694,1999306.6118084637,41073.91148000587,526241.181072028,610156.2657897003,494443.9964943263,31,6474.032663285714,6232.453546986771,39,0,1999387.3403017572,1999473.1993315334,1999609.957873218
q0.95,2,2374405.430186583,166.0201880952378,3035354.4650166663,1499214.4623952268,849.4316205454753,1500063.894015772,113318.86492222108,454906.0317600913,486667.79802999744,394200.916404298,28,10800.0,10800.0,10,0,1500063.894015772,1500063.894015772,1500063.894015772
q0.95,3,2281623.782608673,1037.6793737107093,3240640.0525833336,1405655.8553534448,7153.369952825212,1412809.2253062702,224914.68474986675,437349.6013057663,513297.7083685759,419218.19890849164,31,10800.0,6969.93874450529,4,0,1414089.116876019,1415450.349371681,1417618.5566235697
q0.95,4,1936573.5929889563,1035.0289765607072,3162943.2953166664,1160776.1574987706,6107.28431397729,1166883.4418127479,285978.3431885812,342616.3457995331,482238.9770300499,390954.64305264637,30,6969.93874450529,6590.970235276456,8,0,1167010.081719477,1167144.7699699206,1167359.3049904164
q0.95,5,2000732.242400883,1614.0665190726145,3274848.2480000006,1225465.9617644243,10447.866738299788,1235913.828502724,332499.21140741004,393170.4425596032,453501.86408922676,363635.674102951,31,6590.970235276456,10703.010023412699,19,0,1234539.7081667224,1233078.2583857204,1230750.422381557
q0.95,6,2637502.5292918384,10644.765753774991,3456268.2931999993,1696458.4805862464,70370.36013638026,1766828.8407226268,144518.83164279102,669248.6335654465,458366.5482087169,373979.884554675,30,10703.010023412699,7699.698350507938,38,0,1767832.4573843614,1768899.8568777493,1770600.0391240597
q0.95,7,2789604.1482237433,2219.4326004452314,3970920.440116667,1789495.7880772608,13656.872503814882,1803152.6605810756,187229.0981076092,567666.9533337698,485353.1147468533,393244.8448807095,31,7699.698350507938,7578.785088554234,38,0,1803193.0661658226,1803236.0396459706,1803304.4889458455
q0.95,8,2469397.9040560047,768.826337976188,3753611.725449999,1576132.498785276,4448.125146428499,1580580.6239317046,329469.74600671144,466833.19949415163,473490.395237156,383739.4746107048,31,7578.785088554234,7342.946790100533,26,0,1580659.4340158987,1580743.2527159564,1580876.7613663068
q0.95,9,2160065.129253449,113.02730607142928,3265855.5116333338,1363602.669509033,705.6500756986954,1364308.3195847315,275861.0018432423,404364.60683657276,483681.2068078351,392112.52617812855,30,7342.946790100533,6975.448274787035,12,0,1364431.1265635937,1364561.738292175,1364769.7801204403
q0.95,10,2238518.7472982863,82.04207407857427,3234182.50155,1401415.9074417916,549.9986382621342,1401965.9060800537,260543.12780870806,400414.9305585474,521405.4916793901,418896.3517076143,31,6975.448274787035,10800.0,2,0,1400687.8556300392,1399328.5812627606,1397163.4929697383
