date,mae,rmse,mean_bias,forecast_mean,actual_mean
2025-02-22,0.1332207341269841,0.15139631310484533,0.13305436507936508,0.7683383928571429,0.6352840277777778
2025-02-23,0.05001850198412699,0.06210471201726753,-0.04754489087301588,0.7678335813492063,0.8153784722222223
2025-02-24,0.04619250992063492,0.05612460228623941,-0.04227326388888889,0.7659760416666667,0.8082493055555555
2025-02-25,0.03990406746031744,0.04915467065117408,-0.02882152777777775,0.765275,0.7940965277777778
2025-02-26,0.04720347222222221,0.05900050208287845,-0.04272003968253968,0.7628181547619047,0.8055381944444444
2025-02-27,0.04453878968253968,0.05636817242368801,-0.03658551587301587,0.7613262896825397,0.7979118055555556
2025-02-28,0.1434421626984127,0.16083064386123247,0.1434421626984127,0.7601206349206349,0.6166784722222222
2025-03-01,0.14518854166666667,0.16007867125794487,0.14486830357142855,0.7590905257936508,0.6142222222222222
2025-03-02,0.06192703373015873,0.08120527912594314,-0.05489002976190476,0.7574030257936508,0.8122930555555556
2025-03-03,0.060736160714285704,0.07551092507369177,-0.05573477182539683,0.7561152281746032,0.81185
2025-03-04,0.047614434523809535,0.05982467996079989,-0.04490560515873016,0.7557221726190476,0.8006277777777778
2025-03-05,0.04503878968253969,0.05422677681194688,-0.039770932539682544,0.7547297619047618,0.7945006944444444
2025-03-06,0.04567142857142857,0.05642485621685687,-0.03869355158730159,0.7531633928571428,0.7918569444444444
2025-03-07,0.14287986111111112,0.16129871314591554,0.14287986111111112,0.7513812500000001,0.6085013888888889
2025-03-08,0.1537172619047619,0.17344657909169356,0.1532360119047619,0.7504992063492062,0.5972631944444444
2025-03-09,0.04279474206349207,0.05213813438739403,-0.03602559523809524,0.7477834325396826,0.7838090277777777
2025-03-10,0.058539384920634915,0.07330636681927086,-0.05692291666666666,0.7455284722222222,0.802451388888889
2025-03-11,0.049161160714285716,0.0605365211498646,-0.044278720238095245,0.7451143353174604,0.7893930555555556
2025-03-12,0.04461240079365079,0.05410072763713392,-0.03538968253968253,0.744778373015873,0.7801680555555556
2025-03-13,0.06059598214285714,0.07697617025365017,-0.05667127976190475,0.7429662202380952,0.7996374999999999
2025-03-14,0.15204226190476192,0.17296766856035614,0.15170267857142855,0.7430894841269842,0.5913868055555556
2025-03-15,0.13779940476190478,0.15749756740328885,0.1365107142857143,0.7412829365079365,0.6047722222222222
