method,window,period,date,e_start,e_end,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,preserved_emergency_kwh,emergency_slots,reserve_solves,reserve_failures,max_audit,plan_solver,price_level,price_intercept,price_netload_coef
oracle_greedy,val_august,validation,2025-08-25,2100.0782866380923,1707.2043083703695,76151.70229930159,194.44487727809326,55127.912894617315,1651.7392593657946,56779.65215398311,1418.4546753944767,671.1679166666668,20194.863938383303,16711.42637053143,0.0,3,0,0,9.094947017729282e-13,LP,0.8601569444444443,,
oracle_greedy,val_august,validation,2025-08-26,1707.2043083703695,2289.724857334394,77810.48083583773,0.0,55148.43895568427,0.0,55148.43895568427,5548.620280511457,2347.2462063786024,20323.82879761434,15938.032832,0.0,0,0,0,9.094947017729282e-13,LP,0.8444180555555555,,
oracle_greedy,val_august,validation,2025-08-27,2289.724857334394,1885.1668969915356,77091.64954636684,16.225255619048085,55002.20436660463,134.3372614190515,55136.54162802368,3584.417827800118,1955.4439333333335,21147.19125523339,17493.327081047617,0.0,2,0,0,9.094947017729282e-13,LP,0.8533875,,
oracle_greedy,val_august,validation,2025-08-28,1885.1668969915356,1928.8909241407405,76348.94166178645,46.880709523809514,55090.584423520944,388.3171611380952,55478.90158465904,1659.5063588018847,0.0,20679.838972319805,16711.31794314476,0.0,3,0,0,8.242295734817162e-13,LP,0.863504861111111,,
oracle_greedy,val_august,validation,2025-08-29,1928.8909241407405,1784.4022373777775,41492.65896784127,0.0,23009.75091737766,0.0,23009.75091737766,1042.2922488571442,15090.475426605528,15445.846107711932,12641.175165333334,0.0,0,0,0,2.3874235921539366e-12,MILP,0.6645076388888889,,
oracle_greedy,val_august,validation,2025-08-30,1784.4022373777775,1487.3890171174626,42164.22229411308,0.0,23260.226787782238,0.0,23260.226787782238,973.9011430241052,19807.509600029392,16512.650610318633,13642.55889259238,0.0,0,0,0,2.546585164964199e-11,MILP,0.6546625,,
oracle_greedy,val_august,validation,2025-08-31,1487.3890171174626,2395.7523527111125,78511.0471859659,26.50513619047615,55692.115679686736,218.3203532838092,55910.436032970545,4536.673750079953,2629.044000000001,20566.76045636214,15841.548967619048,0.0,3,0,0,9.348077867343818e-13,LP,0.846538888888889,,
oracle_greedy,eval_september,evaluation,2025-09-10,4786.2408636984155,5219.073491063494,68174.1411069195,968.5033833333317,45262.08819362148,5167.422119424991,50429.51031304647,3203.8548007148675,0.0,22280.219341628454,17657.428302090477,0.0,7,0,0,9.094947017729282e-13,LP,0.7818236111111112,,
oracle_greedy,eval_september,evaluation,2025-09-11,5219.073491063494,5148.901516656086,68758.85592853262,0.0,44866.505853465904,0.0,44866.505853465904,7002.92927266549,4680.02805,19173.51368158142,15593.700859047616,0.0,0,0,0,8.952838470577262e-13,LP,0.7530638888888889,,
oracle_greedy,eval_september,evaluation,2025-09-12,5148.901516656086,5064.217895449734,35781.99286610934,0.0,17178.794260544735,0.0,17178.794260544735,1421.1709096190475,19562.32968786596,17489.743830052903,14242.90776142857,0.0,0,0,0,1.3926637620897964e-12,MILP,0.5750854166666666,,
oracle_greedy,eval_september,evaluation,2025-09-13,5064.217895449734,5269.509571904761,35970.69987133333,0.0,17374.899409028447,0.0,17374.899409028447,1151.8287497824815,23517.55600062904,16365.532256731332,13071.318619142854,0.0,0,0,0,7.617018127348274e-12,MILP,0.5665159722222222,,
oracle_greedy,eval_september,evaluation,2025-09-14,5269.509571904761,4983.513647793654,68250.91727352027,0.0,45542.620691350014,0.0,45542.620691350014,4648.711441809517,137.52479652674936,19067.11903623163,15701.762751047618,0.0,0,0,0,1.0231815394945443e-12,LP,0.7759062499999999,,
oracle_greedy,eval_september,evaluation,2025-09-15,4983.513647793654,4201.535500301585,67041.5571621552,0.0,44083.3865415893,0.0,44083.3865415893,5713.608253885946,3213.990466666666,19740.56916322163,16693.64135495238,0.0,0,0,0,7.105427357601002e-13,LP,0.761726388888889,,
oracle_greedy,eval_september,evaluation,2025-09-16,4201.535500301585,3970.2962505079367,67550.05937370488,0.0,44914.500476472946,0.0,44914.500476472946,2980.954937901237,1430.3384217530916,20290.059765955313,16643.063735238095,0.0,0,0,0,7.673861546209082e-13,LP,0.7779465277777776,,
oracle_greedy,eval_september,evaluation,2025-09-17,3970.2962505079367,3967.777792878308,68450.19347148265,7.62916666666672,44983.453561755916,38.19542291666694,45021.64898467258,4589.248034301,0.0,20582.751661657843,16674.295457809523,0.0,1,0,0,9.094947017729282e-13,LP,0.778054861111111,,
