method,window,period,date,mae,mse,rank_correlation
mean7_value_update,eval_december,evaluation,2025-12-13,0.12623511904761905,0.02063172845804989,0.9639709066507826
mean7_value_update,eval_december,evaluation,2025-12-14,0.06661597222222222,0.006240505103458052,0.986695174616522
mean7_value_update,eval_december,evaluation,2025-12-15,0.061336805555555554,0.005326173541666665,0.9753516598344185
mean7_value_update,eval_december,evaluation,2025-12-16,0.05366517857142857,0.003980074791666666,0.9890563459528978
mean7_value_update,eval_december,evaluation,2025-12-17,0.052521428571428566,0.0039831995238095224,0.9811550518447071
mean7_value_update,eval_december,evaluation,2025-12-18,0.05642847222222221,0.004443810840419501,0.9817910354789895
mean7_value_update,eval_december,evaluation,2025-12-19,0.1354359126984127,0.023404178863378686,0.9675468209950969
mean7_value_update,eval_december,evaluation,2025-12-20,0.14118660714285713,0.02544074294926304,0.9702475685234306
mean7_value_update,eval_december,evaluation,2025-12-21,0.05431170634920634,0.004098392619047619,0.9873864387658365
netload_shape_value_update,dev_march,development,2025-03-07,0.05967694833537661,0.0063761734789659725,0.9039696406740765
netload_shape_value_update,dev_march,development,2025-03-08,0.06240508810533599,0.006072661527303906,0.9049451510048635
netload_shape_value_update,dev_march,development,2025-03-09,0.029985208363786056,0.0013907478512338767,0.9663822907953303
netload_shape_value_update,dev_march,development,2025-03-10,0.036346432448938815,0.0023452142279538086,0.9672132465235913
netload_shape_value_update,dev_march,development,2025-03-11,0.03157672292621521,0.0016557893032646913,0.957490311762311
netload_shape_value_update,dev_march,development,2025-03-12,0.033599554159222465,0.001857787424883321,0.9530844648449129
netload_shape_value_update,dev_march,development,2025-03-13,0.04384775042155358,0.003149132407007767,0.9616952013503738
netload_shape_value_update,dev_march,development,2025-03-14,0.06549333772133677,0.007384824042813469,0.8874043232160094
netload_shape_value_update,dev_march,development,2025-03-15,0.05455136749164231,0.005103390208452012,0.9247959617358193
netload_shape_value_update,dev_march,development,2025-03-16,0.03022165828824934,0.0015049300136616558,0.9532352704766498
netload_shape_value_update,dev_march,development,2025-03-17,0.03312462683451957,0.0017456969993286109,0.9398609633340763
netload_shape_value_update,dev_march,development,2025-03-18,0.02604748290058028,0.0012103522403485638,0.962835471938318
netload_shape_value_update,dev_march,development,2025-03-19,0.03023332241173038,0.0014638207116857017,0.966855491633436
netload_shape_value_update,dev_march,development,2025-03-20,0.030931020550390948,0.0015114317268262656,0.9699792721442806
netload_shape_value_update,dev_april,development,2025-04-17,0.028937574545142047,0.0014934742511094824,0.9599910778716391
netload_shape_value_update,dev_april,development,2025-04-18,0.056281290030157,0.0054660167547879186,0.9553209361098617
netload_shape_value_update,dev_april,development,2025-04-19,0.06316927101948017,0.005997697884311646,0.9472136902633967
netload_shape_value_update,dev_april,development,2025-04-20,0.03247511457501176,0.0016576070458080637,0.9449972218832271
netload_shape_value_update,dev_april,development,2025-04-21,0.028875824922269186,0.0012107419191793496,0.972456969352803
netload_shape_value_update,dev_april,development,2025-04-22,0.034586477612950556,0.001899688957186853,0.9424723544596524
netload_shape_value_update,dev_april,development,2025-04-23,0.03508778922538128,0.001973980614372354,0.9433656291356232
netload_shape_value_update,dev_april,development,2025-04-24,0.034671303799627906,0.001718488022865331,0.9511934378078498
netload_shape_value_update,dev_april,development,2025-04-25,0.06440571303392227,0.007412895039254547,0.9394301101197654
netload_shape_value_update,dev_april,development,2025-04-26,0.07458868435309471,0.010021190825684057,0.9317998223683579
netload_shape_value_update,dev_april,development,2025-04-27,0.03143456585907215,0.0016709621695060873,0.9609918816815369
netload_shape_value_update,dev_april,development,2025-04-28,0.055352712321993236,0.005664126969661085,0.9099067599067598
netload_shape_value_update,dev_april,development,2025-04-29,0.03206625584008855,0.0016047769044932108,0.948086866184026
netload_shape_value_update,dev_april,development,2025-04-30,0.036461394348606964,0.002503006300583889,0.9268363750431536
netload_shape_value_update,val_june,validation,2025-06-08,0.0580543956390078,0.005403045108440549,0.9155815448918898
netload_shape_value_update,val_june,validation,2025-06-09,0.058198262853090946,0.005193027389971826,0.913440177964657
netload_shape_value_update,val_june,validation,2025-06-10,0.056850150284782366,0.004992248596715789,0.9207055717114717
netload_shape_value_update,val_june,validation,2025-06-11,0.06329140467957169,0.006270623947177135,0.9140612833190082
netload_shape_value_update,val_june,validation,2025-06-12,0.06094113965151306,0.0056872665548804435,0.92572326526042
netload_shape_value_update,val_june,validation,2025-06-13,0.03532803691623484,0.002143790207431745,0.964386870415717
netload_shape_value_update,val_june,validation,2025-06-14,0.042782141116819106,0.0031707044564525957,0.9456995934823239
netload_shape_value_update,val_june,validation,2025-06-15,0.05544741854408447,0.0052587277777346375,0.9401584882233749
netload_shape_value_update,val_june,validation,2025-06-16,0.052247952578961296,0.004985486319725338,0.9321264331479723
