strategy,window,period,date,ordinary_kwh,emergency_kwh,ordinary_cost,adjustment_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,e_start,e_end,updates,changed_updates,emergency_slots
rolling_scenario_shuffled,val_june,validation,2025-06-20,35194.62686386642,0.0,17946.828163445687,208.41798637707092,0.0,18155.246149822757,849.5904648463642,8898.249186657065,1764.0309487004724,2511.8934634740776,3,2,0
rolling_scenario_shuffled,val_june,validation,2025-06-21,34700.932820618655,0.0,17662.065244887344,0.0,0.0,17662.065244887344,1356.3539806666681,11342.643848750346,2511.8934634740776,2848.3000507185193,3,0,0
rolling_scenario_shuffled,val_august,validation,2025-08-18,69958.51605618483,117.9563599999999,51563.844527066365,1081.3663807587068,996.9369678749991,53642.14787570007,661.9058730452666,1104.394040493831,1761.9221305047624,1868.829189296296,3,3,4
rolling_scenario_shuffled,val_august,validation,2025-08-19,68981.98603779149,135.87763666666683,50988.95342772891,901.1378579604998,1156.4818541783347,53046.573139867745,877.9514452194763,810.1919141426611,1868.829189296296,1491.5442232037024,3,3,5
rolling_scenario_shuffled,val_august,validation,2025-08-20,75309.86367397833,17.801226666666253,55190.399211320895,2940.3437055387367,149.46180245332994,58280.204719312955,779.3251882304535,0.0,1491.5442232037024,1338.9358157556017,3,3,4
rolling_scenario_shuffled,val_august,validation,2025-08-21,70777.24706802463,0.0,52223.914186356036,2252.4430990194405,0.0,54476.357285375474,788.9743126611826,0.0,1338.9358157556017,1915.7180789777733,3,3,0
rolling_scenario_shuffled,val_august,validation,2025-08-22,38833.52021304074,224.60645407674517,22227.031442359985,692.5373081458913,650.8857726539919,23570.45452315987,0.0,15811.60768333333,1915.7180789777733,1370.5165129817099,3,2,9
rolling_scenario_shuffled,val_august,validation,2025-08-23,40041.757958316455,0.0,22032.65129164349,342.37677493277727,0.0,22375.02806657627,287.0955578600803,14596.411991344305,1370.5165129817099,1488.1982899999982,3,1,0
rolling_scenario_shuffled,val_august,validation,2025-08-24,69645.75600674805,0.0,52110.49355395278,2777.108047341162,0.0,54887.60160129394,1123.210475288058,753.0746172222273,1488.1982899999982,1705.748109839506,3,2,0
rolling_scenario_shuffled,val_august,validation,2025-08-25,77288.15985640867,0.0,56664.5041169458,5806.989595970482,0.0,62471.49371291628,2225.496517210139,0.0,1705.748109839506,2134.5734142897954,3,2,0
rolling_scenario_shuffled,val_august,validation,2025-08-26,71362.3284767164,0.0,52823.83460794094,1840.1577522584605,0.0,54663.9923601994,1633.6402238875107,286.8764832222233,2134.5734142897954,2322.4155437259265,3,2,0
rolling_scenario_shuffled,val_august,validation,2025-08-27,74957.29116687516,46.93000000000029,54584.47306403288,3413.8691526305884,388.2566316666691,58386.59884833014,2262.553064238683,1820.5058990123484,2322.4155437259265,1561.8222880370383,3,3,3
rolling_scenario_shuffled,val_august,validation,2025-08-28,76586.7681759434,204.8784616666657,55274.27762284409,3146.533570829003,1415.0045591741607,59835.81575284725,2036.4310517489728,0.0,1561.8222880370383,1500.7619374551953,3,3,7
rolling_scenario_shuffled,val_august,validation,2025-08-29,41186.04554787557,0.0,22841.510306843862,888.7530833081659,0.0,23730.263390152028,686.1677428395059,15171.421393936896,1500.7619374551953,1490.5568369135833,3,2,0
rolling_scenario_shuffled,val_august,validation,2025-08-30,39839.44265056927,25.85744996666683,22425.451201375075,366.7223223161094,67.10008266350043,22859.273606354684,190.05047685185087,18905.36695556241,1490.5568369135833,1227.8728350000004,3,2,1
rolling_scenario_shuffled,val_august,validation,2025-08-31,72000.47556507449,51.11595333333321,52229.30116777175,1142.295569742752,422.3194424416656,53793.91617995617,776.6909875308685,0.0,1227.8728350000004,2052.165066925925,3,3,3
rolling_scenario_shuffled,eval_september,evaluation,2025-09-10,72379.8104484362,31.683725122220736,48248.13515847981,2403.234492214625,161.34191271306986,50812.7115634075,7178.653439732507,268.46057333333505,4786.287876925929,4596.137299259258,3,3,2
rolling_scenario_shuffled,eval_september,evaluation,2025-09-11,63081.8347148834,0.0,42903.666102286545,2630.0966002325995,0.0,45533.76270251915,4299.790993401921,1364.111073333332,4596.137299259258,4802.636300481483,3,3,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-12,35880.344200706444,0.0,18004.80009160787,514.7868096456946,0.0,18519.586901253566,1799.6425516666663,19928.264309471877,4802.636300481483,5037.657409975304,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-13,35423.09904435556,0.0,17725.361987070562,171.5167107489166,0.0,17896.87869781948,1013.310471666666,23642.80884722908,5037.657409975304,5398.0461929259245,3,3,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-14,69936.01485631686,0.0,47038.95509408293,2442.4822072118845,0.0,49481.43730129481,5359.641998209862,1514.2221705555557,5398.0461929259245,4909.557864518523,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-15,62782.02776493826,200.0369238888908,42854.79962349388,398.6518216881826,1084.6454203263997,44338.09686550846,3957.1204756995826,759.210650000001,4909.557864518523,4298.500035777779,3,2,4
rolling_scenario_shuffled,eval_september,evaluation,2025-09-16,68041.82035484156,0.0,45484.36472277842,2336.5509729422142,0.0,47820.91569572063,3815.0966949650237,1446.046631872433,4298.500035777779,3911.170309907406,3,3,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-17,68837.02300896433,7.62916666666672,46196.54373483195,1322.599996636862,38.19542291666694,47557.339154385474,4728.196562153644,189.89167341563603,3911.170309907406,4128.0860476481475,3,2,1
rolling_scenario_shuffled,eval_september,evaluation,2025-09-18,69311.09544364232,0.0,45606.46716012186,3252.5831098720546,0.0,48859.05026999391,5414.953602695817,1349.4524355555545,4128.0860476481475,3994.8590715246946,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-19,34759.15309036351,0.0,17227.973738043795,356.06492757008095,0.0,17584.038665613876,812.6706638888888,14758.892100329213,3994.8590715246946,4570.133000425925,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-20,34308.41839860768,0.0,16741.346714838353,232.3345310502235,0.0,16973.681245888576,649.1685594444446,15365.232652002745,4570.133000425925,4674.492564962961,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-21,67354.14935763374,0.0,45662.58893934419,1049.045452286983,0.0,46711.634391631174,4230.202183888889,1789.477595939643,4674.492564962961,4220.873264740742,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-22,66411.88964183812,0.0,45056.93117620848,1937.05778856006,0.0,46993.98896476854,2972.3798994924546,0.0,4220.873264740742,3255.3770460740757,3,2,0
rolling_scenario_shuffled,eval_september,evaluation,2025-09-23,69566.79177119341,0.0,46375.54230725202,751.4744025890599,0.0,47127.01670984108,3098.722301358021,392.73555000000283,3255.3770460740757,3203.861927925927,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-08,97087.50441011139,0.0,74226.50514629566,1586.2076044647433,0.0,75812.7127507604,4267.372793749247,0.0,1246.1286812716075,1969.0073277703743,3,1,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-09,94585.3463499026,5.587619999999902,70746.32770940676,2273.175499012633,41.323243709999275,73060.82645212939,2853.71439458985,0.0,1969.0073277703743,1874.3701682888886,3,2,1
rolling_scenario_shuffled,eval_december,evaluation,2025-12-10,94302.81988591113,0.0,71339.46347124346,2960.4771323949312,0.0,74299.94060363839,1452.770839182948,0.0,1874.3701682888886,1800.4717593314317,3,3,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-11,93661.55277306223,0.0,68970.64376790887,2577.013118732212,0.0,71547.65688664108,3243.6591191794505,0.0,1800.4717593314317,1933.0051543555612,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-12,48834.757627015635,0.0,22249.38547405904,1244.0079320003333,0.0,23493.393406059375,1314.840361837038,265.0330727777796,1933.0051543555612,1599.192837946676,3,3,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-13,50315.24057687435,0.0,23470.476612001206,1736.2947273732034,0.0,25206.77133937441,1634.8665498902587,615.0005674444483,1599.192837946676,2020.8838429111047,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-14,93469.86361322881,706.1711078146111,70859.48265221642,2541.768903857861,4721.281530879121,78122.5330869534,1430.4065067969811,0.0,2020.8838429111047,1360.150137536667,3,2,3
rolling_scenario_shuffled,eval_december,evaluation,2025-12-15,97187.21042717289,0.0,73710.17015247655,1242.5674643821808,0.0,74952.73761685874,2652.568054650202,0.0,1360.150137536667,1876.8976455925927,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-16,95822.99804680109,0.0,72610.99878905168,2404.0899171049023,0.0,75015.08870615659,2224.7584443703704,0.0,1876.8976455925927,1723.187374600003,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-17,94388.81731775645,0.0,71162.37804099888,3434.9084548664678,0.0,74597.28649586535,1625.8927846823879,0.0,1723.187374600003,1827.0892285703735,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-18,94356.15312799507,0.0,71439.95113828822,871.2971553296086,0.0,72311.24829361783,2640.676822833213,0.0,1827.0892285703735,1796.3650097185198,3,1,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-19,47706.1940603266,0.0,21787.25206835189,1099.0388495623652,0.0,22886.290917914255,967.3382244632458,55.596747160493194,1796.3650097185198,1620.9303634787407,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-20,48426.104900296596,0.0,22223.545026814103,1431.3887972514337,0.0,23654.933824065538,1084.1734653648791,340.54540866666895,1620.9303634787407,1840.3867495925933,3,2,0
rolling_scenario_shuffled,eval_december,evaluation,2025-12-21,95115.02551849575,267.72273891555795,71474.8843917642,3719.3863115568083,1740.5477863558256,76934.81848967682,2068.3743266858714,0.0,1840.3867495925933,1508.8511163639987,3,3,3
rolling_scenario_price_update,dev_march,development,2025-03-07,33580.39808500412,0.0,13894.036971097825,355.1738449240784,0.0,14249.210816021903,421.7792449382713,9022.5939494321,1637.1139451629633,1897.6078481925933,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-08,32120.1204040279,0.0,13241.852236462304,11.20976334536441,0.0,13253.061999807669,182.55254365431966,9959.08445168724,1897.6078481925933,1863.809700758027,3,1,0
rolling_scenario_price_update,dev_march,development,2025-03-09,69281.58195959704,0.0,43933.561359730265,3483.1372809356153,0.0,47416.69864066588,2065.2834936834615,164.10347333333465,1863.809700758027,1607.9159280740735,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-10,74257.39414772618,0.0,48128.593960447586,915.2686522522615,0.0,49043.86261269985,2004.8036171015092,106.389931333336,1607.9159280740735,1544.7016533703738,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-11,70796.53630400138,0.0,44761.957433628646,3886.278591357601,0.0,48648.23602498625,2293.759647776412,52.442421673528315,1544.7016533703738,1825.6103099555562,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-12,67297.4448146896,0.0,42709.90111287284,4820.392080527445,0.0,47530.293193400285,918.278188275714,224.6825068888915,1825.6103099555562,1551.3713342574079,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-13,73575.14578168333,35.092187053332054,47676.836155838144,3510.7311965761205,219.34965493131182,51406.917007345575,2055.143042539092,105.99734999999987,1551.3713342574079,1426.3788377808894,3,2,2
rolling_scenario_price_update,dev_march,development,2025-03-14,32458.86138071122,0.0,13137.073325935688,530.8713535058353,0.0,13667.944679441523,458.3061158395088,12494.940032973935,1426.3788377808894,1971.5361842222226,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-15,31399.189288576126,0.0,13080.599524013129,520.6661159053574,0.0,13601.265639918485,454.50782722222357,7675.903239201645,1971.5361842222226,1432.1321230518477,3,2,0
rolling_scenario_price_update,dev_march,development,2025-03-16,69977.08048353202,1.6400000000001,44206.74599543162,2717.077623631922,8.081100000000493,46931.90471906355,2025.9171524554192,24.829060000000155,1432.1321230518477,1916.390062711118,3,2,1
rolling_scenario_price_update,dev_march,development,2025-03-17,63050.322196059344,0.0,38793.511857387144,2248.096228614128,0.0,41041.60808600127,1094.7702059026046,0.0,1916.390062711118,2054.547113259264,3,3,0
