method,period,days,plan_kwh,emergency_kwh,plan_cost,emergency_cost,total_cost,paid_grid_spill_kwh,pv_spill_kwh,charge_kwh,discharge_kwh,e_start,e_end,mean_actual_price,inventory_adjusted_cost,emergency_slots,milp_days,max_plan_audit
mean7,2025-03,31,1864459.4492781926,4167.333954046651,1108800.646463263,25683.771048436258,1134484.4175116993,91232.17930256903,138000.95667655024,595049.5229701857,481973.5421837324,1625.3280828021225,1643.7407740444448,0.7255331989247312,1134472.3943947991,23,9,4.042198674546348e-12
mean7,2025-04,30,1560273.656951535,8497.18051933332,888789.1676404532,52840.9539695714,941630.1216100246,50434.030910071764,197582.12618070783,542262.7876572851,439237.7062771962,1643.7407740444448,1638.3538020497374,0.6988464120370371,941633.5098094698,35,8,7.044320682325633e-11
mean7,2025-05,31,1571102.7110571244,8761.725778449512,917493.4663770071,43968.483685647734,961461.9500626548,69581.90735827455,225296.60502104057,511525.6560072621,413350.19651767,1638.3538020497374,2733.448077841271,0.6912003360215054,960780.7134843927,117,10,6.091056548029883e-10
mean7,2025-06,30,2060239.8850657656,27562.158078485805,1362525.5111840295,165698.0213113867,1528223.5324954162,166858.62613363087,71619.7475116508,523781.1285230346,424450.625207398,2733.448077841271,2524.657962574604,0.7662756712962964,1528367.5242025787,172,5,8.736833478906192e-11
mean7,2025-07,31,2276045.632152791,18868.12183671748,1629550.21367807,111052.68690645254,1740602.9005845226,137601.46280324002,106113.88428809232,557238.5749340423,450859.42755253235,2524.657962574604,3084.455900398943,0.8300811827956989,1740184.6906236024,224,8,7.02584657119587e-11
mean7,2025-08,31,2015136.3044282496,2889.4423757780737,1398744.638474363,19767.327431872494,1418511.9659062354,94196.28764397885,240295.7056620542,526530.1180223527,427109.22879102477,3084.455900398943,2395.7523527111116,0.7864659722222223,1418999.4436209202,47,10,1.9817036900349194e-11
mean7,2025-09,30,1820015.8471204988,1012.9736286666653,1160684.5036107104,5427.837038907326,1166112.3406496178,130035.0654211805,203427.13214962752,523605.81612830795,424423.0601999504,2395.7523527111116,2059.8088682433804,0.7202801851851851,1166330.1167413015,11,8,2.3248958314070478e-11
mean7,2025-10,31,1807675.4103201516,2450.7242513783212,1105996.0726201516,14161.787189849296,1120157.8598100008,66657.00520429088,155505.06703840094,595836.1507593986,483005.6794638939,2059.8088682433804,1639.3673695978837,0.7202710573476703,1120430.4084685047,22,9,1.6370904631912708e-11
mean7,2025-11,30,2020761.1733890069,1785.8980217876056,1299601.5377498914,9038.602006640449,1308640.139756532,72250.68521139727,45400.296932002355,615637.6648774473,498713.9835933857,1639.3673695978837,1586.617322205294,0.7610268287037036,1308676.269537685,38,5,9.094947017729282e-12
mean7,2025-12,31,2620218.119206194,13161.46130498571,1860538.6315293855,89366.11474602627,1949904.7462754117,129264.94815082892,9031.490343746036,690180.230186857,559134.0244035857,1586.617322205294,1488.7973752814803,0.8617168234767025,1949980.610059954,60,0,1.0231815394945443e-12
mean14,2025-02,28,1982399.6671457938,34.221639166667046,1279343.75119298,208.60635825405055,1279552.3575512338,122297.20717662362,48627.621418569375,557297.8570977848,459668.4689746838,10800.0,1625.3280828021207,0.7695711805555556,1285906.8643399088,5,5,1.5916157281026244e-12
mean14,2025-03,31,1864253.5500283174,4139.92130840665,1108015.6689480369,25507.68533450919,1133523.3542825459,91550.49054509577,137628.66134981537,594105.6923843586,481209.0394092124,1625.3280828021207,1643.7407740444448,0.7255331989247312,1133511.3311656457,23,9,1.0231815394945443e-11
mean14,2025-04,30,1560037.0080791675,8423.000194309512,888273.2318996594,52428.30631378472,940701.5382134441,50014.99823798827,197695.29246763783,542237.6674975414,439217.54892969044,1643.7407740444448,1638.142711064552,0.6988464120370371,940705.0591810491,35,8,7.747126397185235e-11
mean14,2025-05,31,1571942.9197025094,9944.952464281903,916938.7006519637,50012.8222697166,966951.5229216804,70494.22175413228,226136.9590942975,512953.157541743,414506.93119004805,1638.142711064552,2732.7276208021185,0.6912003360215054,966270.6032100072,134,10,7.676703717152122e-11
mean14,2025-06,30,2060737.2763490672,27568.7332688639,1362398.7720148491,166053.76850491107,1528452.5405197602,167469.71346068554,71245.76213029043,525182.2659790874,425584.8981354657,2732.7276208021185,2524.657962574604,0.7662756712962964,1528596.0353650914,171,5,7.382539024547441e-12
mean14,2025-07,31,2276107.339318834,18779.69486859176,1629560.729471922,109721.82579509639,1739282.5552670185,137502.4282028446,106138.64605841035,557488.8540287489,451062.15361924475,2524.657962574604,3084.455900398943,0.8300811827956989,1738864.3453060982,226,8,7.02584657119587e-11
mean14,2025-08,31,2014924.0977550098,2733.575990747597,1397956.529343771,18765.80775485868,1416722.3370986297,94759.99320508173,239506.74384509242,525778.4506412403,426500.3782123238,3084.455900398943,2395.7523527111116,0.7864659722222223,1417209.8148133145,45,10,4.092726157978177e-12
mean14,2025-09,30,1823128.309066209,1038.3796886666655,1162033.1149003445,5596.990586387327,1167630.105486732,133558.7383607666,203307.91248365666,522114.47487564955,423198.3042151971,2395.7523527111116,2078.441723910048,0.7202801851851851,1167835.8027893587,12,8,6.770682779865133e-12
mean14,2025-10,31,1807145.101621346,2407.3270585030828,1105414.0284621522,13937.253292090028,1119351.2817542423,66659.82251117389,155538.00660451147,592719.7243392187,480498.7158083882,2078.441723910048,1638.731619886773,0.7202710573476703,1119636.3211696385,22,9,1.6422063708887435e-10
mean14,2025-11,30,2020991.440543966,1816.8015906847515,1298530.0208661458,9224.41772095953,1307754.4385871054,72746.97927060556,44765.40917863846,617773.0075624267,500449.56186035334,1638.731619886773,1579.369692344977,0.7610268287037036,1307795.097004622,40,5,1.40346401167335e-10
mean14,2025-12,31,2619233.171344852,12861.841266976187,1860601.2978199264,87216.19728630454,1947817.495106231,128755.67003540506,9047.854424415047,685979.3000212227,555724.7481025476,1579.369692344977,1488.7973752814803,0.8617168234767025,1947887.7380266504,57,0,1.0231815394945443e-12
saa_load,2025-02,28,1967818.3537248147,14.770619999999894,1277251.522119591,103.36831512499953,1277354.8904347161,101756.29893834045,48133.50842317863,549018.5234902783,444954.87857364933,10800.0,10522.361614973459,0.7695711805555556,1277547.1866844753,2,28,7.257767720147967e-10
saa_load,2025-03,31,1855138.8904804338,3718.995313464209,1109357.7049253632,23222.0587007295,1132579.7636260928,77187.99145735822,139499.25936832157,609582.9421564419,493729.97365489026,10522.361614973459,10558.149939226447,0.7255331989247312,1132556.3945704512,19,31,2.314158741177784e-09
saa_load,2025-04,30,1569488.1610581756,7696.6179382294295,887895.8778591789,48190.5422587585,936086.4201179375,47854.82550052424,198868.56897545353,592896.2188747902,480164.43335436296,10558.149939226447,10648.709866134399,0.6988464120370371,936029.4613859429,28,30,1.8232799448014702e-08
