date,candidate,inventory_adjusted_cost
2025-05-31,mean14,11664.471058679645
2025-05-31,mean7,11664.424375435883
2025-06-01,blend25,112336.87097891259
2025-06-01,blend50,111861.5489458539
2025-06-01,blend75,111381.33317634763
2025-06-01,fixed,112171.42854426733
2025-06-01,mean14,111141.53489436461
2025-06-01,mean7,111133.9078962684
2025-06-02,blend25,88558.20059774122
2025-06-02,blend50,88592.5525332235
2025-06-02,blend75,88675.94656459142
2025-06-02,fixed,88516.27150129419
2025-06-02,mean14,88675.94656459142
2025-06-02,mean7,88581.5013816859
2025-06-03,blend25,66460.82668002832
2025-06-03,blend50,66491.99959793767
2025-06-03,blend75,66437.14633903914
2025-06-03,fixed,66465.36523104814
2025-06-03,mean14,66676.79092898993
2025-06-03,mean7,66261.87485161207
2025-06-04,blend25,57195.3761645963
2025-06-04,blend50,57135.69283126297
2025-06-04,blend75,57150.49079960839
2025-06-04,fixed,57279.14283126297
2025-06-04,mean14,57141.86549267401
2025-06-04,mean7,57223.452608652944
2025-06-05,blend25,54455.37931178156
2025-06-05,blend50,53779.72019717362
2025-06-05,blend75,53728.6743281277
2025-06-05,fixed,54542.19349609281
2025-06-05,mean14,53740.05385464453
2025-06-05,mean7,53642.01107687573
2025-06-06,blend25,26664.60048411583
2025-06-06,blend50,26803.77624887731
2025-06-06,blend75,27027.40662770007
2025-06-06,fixed,26742.54925458541
2025-06-06,mean14,27028.269054237993
2025-06-06,mean7,27027.05562828702
2025-06-07,blend25,18027.388234203012
2025-06-07,blend50,17983.686902203834
2025-06-07,blend75,17983.686902203834
2025-06-07,fixed,18075.041552927112
2025-06-07,mean14,17979.58240279869
2025-06-07,mean7,17984.774425393927
2025-06-08,blend25,59282.73536671387
2025-06-08,blend50,59392.66966330721
2025-06-08,blend75,59338.57962435935
2025-06-08,fixed,59326.82761029573
2025-06-08,mean14,59186.64691044532
2025-06-08,mean7,59183.22316408046
2025-06-09,blend25,59890.37775932176
2025-06-09,blend50,59719.77586874102
2025-06-09,blend75,59767.666911171305
2025-06-09,fixed,60003.72078910946
2025-06-09,mean14,59786.890553789315
2025-06-09,mean7,59751.30404034422
2025-06-10,blend25,59565.99873237141
2025-06-10,blend50,59550.53829544153
